Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Apr-2022,17436.9,17703.7,17422.7,17670.45,291773447,21132.13
04-Apr-2022,17809.1,18114.65,17791.4,18053.4,345526502,38623.94
05-Apr-2022,18080.6,18095.45,17921.55,17957.4,283453612,25096.7
06-Apr-2022,17842.75,17901,17779.85,17807.65,328824420,24252.48
07-Apr-2022,17723.3,17787.5,17623.7,17639.55,308840215,26236.91
08-Apr-2022,17698.15,17842.75,17600.55,17784.35,274447433,25608.1
11-Apr-2022,17740.9,17779.05,17650.95,17674.95,251701846,21001.58
12-Apr-2022,17584.85,17595.3,17442.35,17530.3,266029060,23958.77
13-Apr-2022,17599.9,17663.65,17457.4,17475.65,245061941,20229.83
18-Apr-2022,17183.45,17237.75,17067.85,17173.65,376130248,30154.62
19-Apr-2022,17258.95,17275.65,16824.7,16958.65,401399563,35467.13
20-Apr-2022,17045.25,17186.9,16978.95,17136.55,286069736,25972.15
21-Apr-2022,17234.6,17414.7,17215.5,17392.6,285200022,24999.9
22-Apr-2022,17242.75,17315.3,17149.2,17171.95,262739740,23371.7
25-Apr-2022,17009.05,17054.3,16888.7,16953.95,275685925,22699.65
26-Apr-2022,17121.3,17223.85,17064.45,17200.8,261065753,22079.92
27-Apr-2022,17073.35,17110.7,16958.45,17038.4,265140480,25373.8
28-Apr-2022,17189.5,17322.5,17071.05,17245.05,312914417,28488.87
29-Apr-2022,17329.25,17377.65,17053.25,17102.55,-,-